City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Faanui,PF,76.41,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
3,Cape Town,ZA,59.38,fog,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
4,Antofagasta,CL,54.68,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
5,Mataura,NZ,43.72,broken clouds,-46.1927,168.8643,Ellie's Villa
7,Teguise,ES,68.22,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
9,Severo-Kurilsk,RU,56.91,overcast clouds,50.6789,156.125,Kak Doma
10,Hobart,AU,52.27,light rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
11,Hermanus,ZA,52.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
12,Touros,BR,73.89,clear sky,-5.1989,-35.4608,INN NEW HORIZON
13,Puerto Ayora,EC,69.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Rikitea,PF,67.68,moderate rain,-23.1203,-134.9692,People ThankYou
16,Khatanga,RU,62.92,overcast clouds,71.9667,102.5,"""Khatanga"""
17,Boden,SE,55.4,overcast clouds,65.8252,21.6886,Quality Hotel Bodensia
19,Astorga,BR,65.14,overcast clouds,-23.2325,-51.6656,Rancho Jads
20,Lompoc,US,66.58,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
23,Shache,CN,77.41,scattered clouds,38.4167,77.2406,Delong Hotel
25,Duiwelskloof,ZA,53.06,broken clouds,-23.6934,30.14,Silvermist Guesthouse
26,Bambous Virieux,MU,70.21,light rain,-20.3428,57.7575,Casa Tia Villa
27,Polonnaruwa,LK,82.9,broken clouds,7.9333,81.0,Thisara Guest House
28,Clyde River,CA,50.23,clear sky,70.4692,-68.5914,Qamaq Hotel
29,Thompson,CA,74.44,overcast clouds,55.7435,-97.8558,Burntwood Hotel
30,Castro,BR,61.21,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
31,Campbell River,CA,64.45,broken clouds,50.0163,-125.2446,Anchor Inn & Suites
33,Alta Floresta,BR,80.24,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
34,Hamada,JP,79.52,scattered clouds,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
35,Gladstone,AU,71.53,scattered clouds,-23.85,151.25,Highpoint International Hotel
36,Butaritari,KI,80.19,moderate rain,3.0707,172.7902,Isles Sunset Lodge
42,Kirakira,SB,84.33,overcast clouds,-10.4544,161.9205,SanBiz Lodge
43,Yar-Sale,RU,61.74,clear sky,66.8333,70.8333,Yalemd
44,Mumford,GH,74.75,light rain,5.2618,-0.759,Spanish Villa
45,Hithadhoo,MV,83.17,broken clouds,-0.6,73.0833,Scoop Guest House
46,Panzhihua,CN,84.43,overcast clouds,26.5851,101.7128,Electric Power Hotel
47,Quime,BO,46.96,overcast clouds,-16.9833,-67.2167,Hostal Colibri
49,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
50,Gizo,SB,82.69,light rain,-8.103,156.8419,Imagination Island
51,Ribera,IT,75.65,clear sky,37.4984,13.2642,B&B Le Foglie D'Argento
52,Bredasdorp,ZA,50.32,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
53,Mar Del Plata,AR,50.88,light intensity drizzle,-38.0023,-57.5575,Gran Hotel Mar del Plata
55,Bluff,NZ,47.26,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
57,East London,ZA,58.05,broken clouds,-33.0153,27.9116,Tu Casa
59,Tazovskiy,RU,57.43,clear sky,67.4667,78.7,TazHostel
60,Wuwei,CN,65.68,overcast clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
61,Busselton,AU,59.36,overcast clouds,-33.65,115.3333,Observatory Guest House
62,Port Macquarie,AU,64.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
63,Torbay,CA,62.89,broken clouds,47.6666,-52.7314,Gallows Cove
64,Oussouye,SN,79.43,overcast clouds,12.485,-16.5469,Auberge du Routard
65,Lagoa,PT,68.79,clear sky,39.05,-27.9833,Casa Das Faias
66,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
68,Chodavaram,IN,80.44,overcast clouds,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
69,Hvide Sande,DK,53.1,scattered clouds,56.0045,8.1294,Hvide Sande Hotel
70,Sao Filipe,CV,74.43,overcast clouds,14.8961,-24.4956,Hotel Xaguate
71,San Cristobal,VE,71.78,scattered clouds,7.7669,-72.225,Pirineos
72,Jamestown,US,63.99,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
73,Santa Maria Da Vitoria,BR,67.42,clear sky,-13.3947,-44.1886,Pousada Rio Current
74,Alice Springs,AU,65.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
77,Lac Du Bonnet,CA,67.59,clear sky,50.2536,-96.0612,Drifter's Inn
78,Lisieux,FR,55.13,clear sky,49.1667,0.1667,La ville au calme
79,Naze,JP,86.92,overcast clouds,28.3667,129.4833,Shishime Hotel
80,Gornopravdinsk,RU,64.35,overcast clouds,60.05,69.9,Hostel
82,Qaanaaq,GL,51.3,broken clouds,77.484,-69.3632,Qaanaaq Hotel
83,Leningradskiy,RU,44.69,overcast clouds,69.3833,178.4167,Gostinitsa
84,Sao Jose Da Coroa Grande,BR,73.85,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
86,Musoma,TZ,70.21,overcast clouds,-1.5,33.8,New Peninsula Hotel
87,Acajutla,SV,80.22,overcast clouds,13.5928,-89.8275,Laureles
88,Roebourne,AU,70.79,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
90,Carnarvon,AU,69.31,clear sky,-24.8667,113.6333,Hospitality Carnarvon
91,Storforshei,NO,48.65,overcast clouds,66.4043,14.5233,Campingplass Mo i Rana: Storli Camping
93,Terrace,CA,57.11,light rain,54.5163,-128.6035,Northern Motor Inn
95,San Patricio,US,85.84,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
97,Kodiak,US,63.91,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
98,Mangrol,IN,81.52,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
99,Tasiilaq,GL,48.36,overcast clouds,65.6145,-37.6368,The Red House
100,Severodvinsk,RU,59.11,overcast clouds,64.5635,39.8302,Park Hotel
102,Kologriv,RU,54.63,clear sky,58.8275,44.3178,Postoyalyy Dvor
103,Yellowknife,CA,64.09,broken clouds,62.456,-114.3525,The Explorer Hotel
104,Grand-Bourg,GP,80.55,clear sky,15.8835,-61.3148,Coco Beach Resort
105,Fairhope,US,78.67,clear sky,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
106,Shitanjing,CN,75.04,broken clouds,39.2342,106.3439,Yingbin Hotel
107,Kaitangata,NZ,46.74,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
108,Mahebourg,MU,70.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
109,Cayenne,GF,76.08,mist,4.9333,-52.3333,Hôtel Le Dronmi
110,Gavardo,IT,75.83,clear sky,45.5894,10.4426,Boutique Hotel Villa dei Campi
111,Cananeia,BR,68.16,overcast clouds,-25.0147,-47.9267,Pousada Ancoradouro
112,Ribeira Grande,PT,69.66,clear sky,38.5167,-28.7,Quinta da Meia Eira
113,San-Pedro,CI,73.74,light rain,4.7485,-6.6363,Hotel Maria
114,Marsh Harbour,BS,81.48,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
115,Makat,KZ,77.88,clear sky,47.6469,53.3463,Umit
119,Sackville,CA,64.87,scattered clouds,45.9188,-64.3846,Sackville Bed and Breakfast
121,Cobija,BO,76.95,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
122,Pauini,BR,78.98,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
123,Esperance,AU,59.63,overcast clouds,-33.8667,121.9,Hospitality Esperance
124,Semnan,IR,80.44,clear sky,35.5729,53.3971,Semnan Tourist Hotel
126,Harper,LR,74.19,light rain,4.375,-7.7169,Screensaver
127,Bud,US,74.05,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
128,Semirom,IR,57.25,clear sky,31.4167,51.5667,Motel Dena
129,Caravelas,BR,70.16,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
132,Tuatapere,NZ,46.74,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
134,Hobyo,SO,76.42,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
135,Yanam,IN,79.34,overcast clouds,16.7333,82.2167,The Regency Hotel
136,Brae,GB,48.51,clear sky,60.3964,-1.353,Busta House Hotel
137,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
139,Chuy,UY,58.1,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
140,Luau,AO,59.34,clear sky,-10.7073,22.2247,Kimbo Hotel
141,Belmonte,BR,71.78,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
144,Mansfield,GB,55.44,few clouds,53.1333,-1.2,Mansfield Lodge Hotel
145,Port Elizabeth,ZA,48.49,clear sky,-33.918,25.5701,39 On Nile Guest House
146,Celestun,MX,80.92,clear sky,20.8667,-90.4,Posada Lilia
150,Oktyabrskiy,RU,62.49,clear sky,54.4815,53.471,Гостиница Октябрьская
151,Port Alfred,ZA,58.26,overcast clouds,-33.5906,26.891,The Halyards Hotel
154,Kindu,CD,70.48,scattered clouds,-2.95,25.95,Résidence Okanda
156,Atuona,PF,77.2,clear sky,-9.8,-139.0333,Villa Enata
157,Zhigansk,RU,59.85,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
160,Komsomolskiy,UZ,84.92,clear sky,40.4272,71.7189,Ikathouse
161,Vardo,NO,53.58,broken clouds,70.3705,31.1107,Vardø Hotel AS
162,Redmond,US,78.37,few clouds,47.674,-122.1215,Seattle Marriott Redmond
163,Omboue,GA,72.32,overcast clouds,-1.5746,9.2618,Hotel Olako
164,Buchanan,LR,74.71,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
165,Karasjok,NO,54.21,overcast clouds,69.4719,25.5112,Karasjok camping AS
167,Husavik,IS,50.54,overcast clouds,66.0449,-17.3389,Bjarnabúð
169,Presidente Medici,BR,79.99,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
170,Vila Velha,BR,69.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
171,Takoradi,GH,75.07,light rain,4.8845,-1.7554,Raybow International Hotel
172,Ahipara,NZ,55.45,few clouds,-35.1667,173.1667,Ahipara Holiday Park
174,Wladyslawowo,PL,56.01,broken clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
177,Souillac,MU,68.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
178,Bereznik,RU,57.7,broken clouds,62.8551,42.7072,coastal Hotel
180,Quatre Cocos,MU,70.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
182,Calabar,NG,72.5,light rain,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
183,Bilma,NE,82.9,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
185,Sorland,NO,49.86,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
186,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
187,Margate,GB,63.3,few clouds,51.3813,1.3862,Premier Inn Margate hotel
188,Trinidad,BO,82.63,overcast clouds,-14.8333,-64.9,Hotel Piesta
190,Preston,GB,57.67,broken clouds,53.7667,-2.7167,Legacy Preston International Hotel - managed by Legacy Hotels and Resorts
191,Phan Thiet,VN,85.39,few clouds,10.9333,108.1,Hotel Saigon-PT
192,Matamoros,MX,89.71,dust,25.5333,-103.25,Quinta Belem
193,Bentiu,SS,68.92,scattered clouds,9.2333,29.8333,Mandela hôtel
194,Pisco,PE,60.03,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
196,Jiuquan,CN,75.18,overcast clouds,39.7432,98.5174,Jiuquan Hotel
197,Korem,ET,57.27,overcast clouds,12.5058,39.5228,Lakomeliza Hotel
201,Camargo,MX,84.94,broken clouds,27.6667,-105.1667,Hotel Santa Fe
202,Mossendjo,CG,63.73,broken clouds,-2.9506,12.7261,HOTEL D'ASSISE
203,Seoul,KR,81.97,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
204,Kitros,GR,77.95,clear sky,40.3756,22.5783,Achillion Hotel
205,Havre-Saint-Pierre,CA,55.76,broken clouds,50.2334,-63.5986,Auberge Niapiskau
206,Tobermory,CA,63.77,overcast clouds,45.2501,-81.6665,Escarpment Heights Motel
207,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
212,Buala,SB,85.17,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
213,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,hotel la terminal
215,Bolivar,US,88.75,clear sky,37.6145,-93.4105,Comfort Inn Bolivar
216,Sur,OM,85.5,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
217,Da Nang,VN,87.78,clear sky,16.0678,108.2208,Grand Mercure Danang
218,Beira,MZ,63.72,light rain,-19.8436,34.8389,Beira Terrace Hotel
219,Senanga,ZM,50.95,clear sky,-16.1167,23.2667,Zango lodge
220,Plock,PL,51.98,overcast clouds,52.5468,19.7064,HERMAN
221,Joshimath,IN,76.42,few clouds,30.5667,79.5667,Shivalik Camps & Resort
223,Cherskiy,RU,66.51,overcast clouds,68.75,161.3,Gostinitsa
224,Koumac,NC,73.51,clear sky,-20.5667,164.2833,Le Monitel
225,Flinders,AU,62.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
226,Lais,PH,83.08,moderate rain,6.3328,125.6464,Iwata - hide family beach house
227,Lorengau,PG,83.73,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
229,Cidreira,BR,62.98,overcast clouds,-30.1811,-50.2056,Hotel Castelo
231,Champerico,GT,75.36,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
232,Chernyshevskiy,RU,57.76,moderate rain,63.0128,112.4714,Chernyseyskiy
233,Balkanabat,TM,81.37,clear sky,39.5108,54.3671,Nebitchi Hotel
234,Hambantota,LK,80.55,overcast clouds,6.1241,81.1185,Bungalow 63
235,Petropavlovsk-Kamchatskiy,RU,72.19,few clouds,53.0452,158.6483,The Hotel Petropavlovsky
236,Cabo Rojo,PR,81.68,clear sky,18.0866,-67.1457,Hotel Perichi's
237,Kuruman,ZA,48.81,clear sky,-27.4524,23.4325,Cornerstone Guest House
238,Terney,RU,59.63,moderate rain,45.0503,136.6092,"Hotel ""Ternay"""
239,Yulara,AU,62.37,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
240,Jacmel,HT,84.04,scattered clouds,18.2342,-72.5347,Historic Hotel Florita
247,Fort Nelson,CA,76.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
249,Vao,NC,68.68,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
250,Tautira,PF,75.7,broken clouds,-17.7333,-149.15,Pension Oaoa
251,Tura,IN,80.64,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
252,Poronaysk,RU,59.07,broken clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
253,Coquimbo,CL,47.93,broken clouds,-29.9533,-71.3436,Hotel San Juan
254,Kawalu,ID,75.61,overcast clouds,-7.3817,108.2082,West Jontor
255,Gweta,BW,54.61,clear sky,-20.1833,25.2333,Gweta Lodge
257,Nouadhibou,MR,68.41,clear sky,20.931,-17.0347,El Medina
258,Kaeo,NZ,59.32,light rain,-35.1,173.7833,Bushido Lodge
260,Paramonga,PE,60.62,scattered clouds,-10.6667,-77.8333,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
262,Wum,CM,64.26,overcast clouds,6.3833,10.0667,Wum Council Hall
264,Kruisfontein,ZA,53.51,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
266,Luganville,VU,78.69,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
267,Cockburn Town,TC,81.68,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
269,Inza,RU,58.41,clear sky,53.8533,46.3586,Gostevoy Dom
270,Sainte-Anne-Des-Monts,CA,66.07,scattered clouds,49.124,-66.4924,Motel et restaurant Manoir sur Mer Enr.
271,Leh,IN,55.98,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
272,Santiago,CL,43.54,moderate rain,-33.4569,-70.6483,Hotel Panamericano
275,Katobu,ID,83.44,overcast clouds,-4.9408,122.5276,La Ode Husein
276,Mehamn,NO,53.55,few clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
277,Thunder Bay,CA,67.98,few clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
278,Hasaki,JP,77.4,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
280,Soyo,AO,69.03,few clouds,-6.1349,12.3689,Hospedaria ndozi'ame
